area,solidity,max_intensity,prediction
2225,0.7568027210884354,809,0
2003,0.6710217755443886,820,0
2900,0.7953922106417992,846,0
2869,0.7135041034568516,1083,5
2027,0.7177762039660056,898,0
13516,0.8645260330049891,966,1
2726,0.769621682665161,780,0
2727,0.7364299216851202,874,0
2268,0.8079800498753117,989,0
6192,0.820675944333996,887,0
1773,0.7449579831932773,1047,0
1664,0.636085626911315,1137,5
3626,0.6757361162877376,1099,4
4765,0.7639890973224307,1063,5
12465,0.8305016989806117,1039,1
1732,0.7240802675585284,753,0
2555,0.7695783132530121,805,0
1589,0.7407925407925408,842,0
2816,0.7945823927765236,830,5
2114,0.7536541889483066,927,0
7910,0.7434909295986465,828,0
3831,0.773626817447496,1174,5
6403,0.6873121511378274,565,0
8797,0.7910259868716842,907,3
2903,0.8154494382022472,871,0
3949,0.7787418655097614,888,0
2098,0.7860621955788685,927,0
3594,0.8235563703024747,1036,5
2419,0.7970345963756178,925,0
2977,0.7953513224686081,787,0
3702,0.7836579170194751,753,0
4195,0.8120402632597754,1025,5
6294,0.465601420328451,569,4
11748,0.7771383210954554,1021,0
2973,0.7632862644415918,766,0
1929,0.7290249433106576,805,0
5075,0.844988344988345,859,0
4405,0.7461043360433605,754,0
2116,0.7276478679504814,991,5
4916,0.7946977044940188,806,0
3789,0.7631419939577039,1134,5
3606,0.7534475553698287,878,5
3582,0.7829508196721311,805,0
803,0.5040803515379787,802,4
4493,0.7566520714045133,801,0
1733,0.79168570123344,858,0
2115,0.7361642882004873,865,0
2082,0.6607426213900349,1080,5
4923,0.7520623281393217,589,0
4109,0.4349068585944115,581,4
1690,0.7908282639213852,871,0
2344,0.825061598028863,918,0
1932,0.7840909090909091,803,0
7531,0.7887515710096356,796,0
2382,0.7743823146944083,945,5
3914,0.7807699980051865,1149,5
4206,0.756883210365305,1030,5
3409,0.8308554716061418,838,0
6334,0.8515730034955633,757,0
4279,0.8236766121270452,789,0
5345,0.8121865977814922,768,0
6275,0.8039718129404229,779,0
3345,0.792090930618044,1010,5
2292,0.7761598374534372,967,0
3188,0.73405480082892,857,0
1763,0.6029411764705882,1125,4
2048,0.4377939290294997,583,4
3439,0.7869565217391304,1056,5
700,0.5622489959839357,824,0
3614,0.8447872837774661,875,0
2759,0.71643728901584,918,0
3134,0.6699444206926036,779,0
1327,0.7323399558498896,820,0
1910,0.7612594659226783,872,5
3134,0.764763299170327,870,0
1998,0.7941176470588235,995,5
1822,0.7494858083093378,1096,5
3868,0.7427035330261137,865,0
1792,0.666914774841831,1098,5
12654,0.8454600120264583,738,1
3940,0.8211754897874114,804,0
1365,0.6831831831831832,802,0
2115,0.7643657390675822,883,5
2422,0.7642789523508994,930,5
3276,0.7735537190082644,1118,5
10500,0.7434681016781137,583,0
11629,0.8020553141595972,675,1
1663,0.6347328244274809,1035,5
1702,0.6245871559633027,1098,5
2078,0.8001540238737004,1069,0
3372,0.7934117647058824,1048,5
3763,0.752750550110022,802,0
5579,0.7650850246845858,741,0
5855,0.777453193467003,884,0
5075,0.8054277098873195,791,0
3929,0.7278621711745091,865,0
3208,0.7782629791363416,1048,5
9133,0.79882795416776,848,0
5427,0.8159675236806495,928,5
12954,0.8085637600649148,1081,1
4059,0.8088880031885213,776,0
2351,0.7508783136378154,791,0
1809,0.7753964852121732,993,0
1807,0.718774860779634,1069,5
4042,0.7885290674990246,969,5
3112,0.761998041136141,987,5
2411,0.7209928229665071,1038,0
2656,0.7114920975087061,824,0
4077,0.7904226444358279,781,0
1622,0.645186953062848,943,0
2035,0.7014822475008617,1034,5
10591,0.8151939655172413,789,0
2403,0.7297297297297297,1100,5
12932,0.814973531635997,1107,3
3732,0.8209414870215574,804,0
2403,0.7835017932833388,869,0
2207,0.789059706828745,875,0
1537,0.7512218963831867,938,0
3958,0.7513287775246773,788,0
5760,0.7490247074122237,788,0
5443,0.7248634971367692,820,0
1560,0.6961178045515395,926,0
3601,0.7560361116943103,996,5
8658,0.8053204353083434,870,5
4145,0.8025169409486931,795,0
1600,0.7952286282306164,849,0
5364,0.7527364580409767,844,0
1501,0.645036527718092,946,4
3116,0.8083009079118029,997,5
2228,0.7484044339939536,1082,5
12303,0.8172578716620167,1004,1
13497,0.8165648254582855,1061,1
1747,0.7747228381374723,836,0
1408,0.701195219123506,946,0
2978,0.7968959058067969,790,0
4292,0.7173658699649006,835,0
3432,0.772972972972973,1042,5
1850,0.7112648981161092,1002,0
2225,0.7421614409606404,907,5
2825,0.6890243902439024,1049,4
13417,0.7961666271065749,841,1
2317,0.776214405360134,806,0
2676,0.7900797165633304,775,0
2541,0.75625,950,5
4457,0.7346299653865173,918,0
3041,0.7906916276651066,1056,5
2758,0.7342917997870074,966,5
2667,0.746431570109152,1194,5
4723,0.8274351786965662,1109,5
4038,0.8090563013424164,762,0
1654,0.7393831023692445,1005,5
3788,0.6780025058170753,880,4
1913,0.7279299847792998,1023,5
7603,0.791072729164499,706,0
3473,0.8050533147890588,1088,5
1925,0.6672443674176777,787,0
3345,0.8296130952380952,773,0
3496,0.690772574590002,774,0
1403,0.6976628543013426,1167,5
3879,0.8036047234307023,1060,5
12168,0.8163155776197505,943,1
2231,0.7238805970149254,863,0
2346,0.7198527155569193,852,0
3210,0.7420249653259362,822,0
3130,0.8025641025641026,891,0
1396,0.7097102186070158,1055,5
4032,0.6813112538019601,891,0
1803,0.7267230955259976,993,5
3310,0.8032031060422228,721,0
1409,0.5709076175040518,872,4
1935,0.6937970598780925,839,0
607,0.7822164948453608,993,0
1186,0.7477931904161412,993,0
2600,0.7032729239924262,1069,5
1958,0.7156432748538012,1006,0
1524,0.6300124018189335,1067,4
2116,0.7296551724137931,984,0
2938,0.6293916023993145,1137,4
2393,0.8024815560026828,1099,0
1219,0.7347799879445449,1031,5
9767,0.802217659137577,756,0
1738,0.750755939524838,883,0
1412,0.6281138790035588,1045,5
1818,0.6909920182440137,1057,5
3501,0.8013275349050126,897,5
4309,0.7690522934142424,1118,5
1772,0.7741371778069026,959,0
1752,0.7755644090305445,1013,0
6685,0.7179679948448072,767,0
1394,0.6304839439167798,1081,5
1829,0.6994263862332696,1033,5
2493,0.7466307277628033,960,0
4945,0.783676703645008,912,0
2277,0.6954795357361027,1032,0
2778,0.6772306192101414,914,4
4014,0.7680826636050516,843,0
2254,0.7807412538967786,794,0
2347,0.7659921671018277,954,0
1468,0.7147030185004869,860,5
2304,0.7370441458733206,1014,5
5071,0.722467587975495,920,0
4491,0.7830863121185702,986,5
4249,0.800339046901488,938,5
4025,0.6905129524789844,1152,5
1469,0.6133611691022964,867,0
2133,0.6975147155003271,886,4
3649,0.7570539419087137,1016,5
1625,0.7028546712802768,855,0
3456,0.8210976478973628,900,0
1725,0.7075471698113207,1019,5
